trial,instr,fired_lanes,n_fired,ct0,ct1,ct2,ct3,diff_count_0,diff_count_1,diff_count_2,diff_count_3,col_0,col_1,col_2,col_3
i5300,5300,"2,3",2,3925841d02dc09fbdc118597196a0b32,8df4e9aac5c7573a27d8d055d6e4d64b,2f49671c7ab81b2f435d9b5c0e35b8c1,e16b676be413d87d83edb9b9f7b847f4,0,0,1,1,-1,-1,-1,-1
i5304,5304,"0,1,2,3",4,3925841d02dc09fbdc1185e9196a0b32,8df4e9aac5c7573a27d8d0b6d6e4d64b,2f49671c7ab81b2f435d9b5c0e35b8c1,e16b676be413d87d83edb9b9f7b847f4,1,1,1,1,-1,-1,-1,-1
i5308,5308,"0,1,2,3",4,3925371d02b609fb60118597196a0bf2,8df415aac583573a20d8d055d6e4d69d,2f494e1c7ab41b2f825d9b650e35b86c,e16b4e6be4f3d87d29edb9aef7b847a6,4,4,4,4,2,2,2,2
i5312,5312,"0,1,2,3",4,3925f81d02b609fb73118597196a0bf2,8df4caaac583573ae6d8d055d6e4d69d,2f495f1c7ab41b2f385d9b650e35b86c,e16b5f6be4f3d87dc1edb9aef7b847a6,4,4,4,4,2,2,2,2
i5316,5316,"0,1,3",3,3925841d02dc09fb73118597196a0b32,8df4e9aac5c7573ae6d8d055d6e4d64b,2f49671c7ab81b2f435d9b650e35b8c1,e16b676be413d87dc1edb9aef7b847f4,1,1,0,1,-1,-1,-1,-1
i5320,5320,"0,1,3",3,3925f81d02b609fb73118597196a0b0b,8df4caaac583573ae6d8d055d6e4d637,2f49671c7ab81b2f435d9b650e35b8c1,e16b5f6be4f3d87dc1edb9aef7b8470f,4,4,0,4,2,2,-1,2
i5324,5324,"0,1,3",3,3925841d02dc09fb73118597196a0b32,8df4e9aac5c7573ae6d8d055d6e4d64b,2f49671c7ab81b2f435d9b650e35b8c1,e16b676be413d87dc1edb9aef7b847f4,1,1,0,1,-1,-1,-1,-1
i5328,5328,2,1,3925841d02dc09fbdc118597196a0b32,8df4e9aac5c7573a27d8d055d6e4d64b,2f495f1c7ab41b2f385d9b650e35b840,e16b676be413d87d83edb9aef7b847f4,0,0,4,0,-1,-1,2,-1
i5332,5332,2,1,3925841d02dc09fbdc118597196a0b32,8df4e9aac5c7573a27d8d055d6e4d64b,2f49671c7ab81b2f385d9b650e35b8c1,e16b676be413d87d83edb9aef7b847f4,0,0,1,0,-1,-1,-1,-1
i5336,5336,"0,1,2,3",4,3925841d02dc09fb73118597196a0b32,8df4e9aac5c7573ae6d8d055d6e4d64b,2f49671c7ab81b2f385d9b650e35b8c1,e16b676be413d87dc1edb9aef7b847f4,1,1,1,1,-1,-1,-1,-1
i5340,5340,"0,1,2,3",4,3925841d02dc09fbdc118597196a0b32,8df4e9aac5c7573a27d8d055d6e4d64b,2f49671c7ab81b2f435d9b650e35b8c1,e16b676be413d87d83edb9aef7b847f4,0,0,0,0,-1,-1,-1,-1
i5344,5344,"0,1,2,3",4,3925841d02b609fbdc118597196a0b32,8df4e9aac583573a27d8d055d6e4d64b,2f49671c7ab41b2f435d9b650e35b8c1,e16b676be4f3d87d83edb9aef7b847f4,1,1,1,1,-1,-1,-1,-1
